id,Geographic Area,Households Median income (dollars),Year
0400000US27,Minnesota,61481,2014
0400000US28,Mississippi,39680,2014
0400000US29,Missouri,48363,2014
0400000US30,Montana,46328,2014
0400000US31,Nebraska,52686,2014
0400000US32,Nevada,51450,2014
0400000US33,New Hampshire,66532,2014
0400000US34,New Jersey,71919,2014
0400000US35,New Mexico,44803,2014
0400000US36,New York,58878,2014
0400000US37,North Carolina,46556,2014
0400000US38,North Dakota,59029,2014
0400000US39,Ohio,49308,2014
0400000US40,Oklahoma,47529,2014
0400000US41,Oregon,51075,2014
0400000US42,Pennsylvania,53234,2014
0400000US44,Rhode Island,54891,2014
0400000US45,South Carolina,45238,2014
0400000US46,South Dakota,50979,2014
0400000US47,Tennessee,44361,2014
0400000US48,Texas,53035,2014
0400000US49,Utah,60922,2014
0400000US50,Vermont,54166,2014
0400000US51,Virginia,64902,2014
0400000US53,Washington,61366,2014
0400000US54,West Virginia,41059,2014
0400000US55,Wisconsin,52622,2014
0400000US56,Wyoming,57055,2014
0400000US72,Puerto Rico,18928,2014
0400000US01,Alabama,44765,2015
0400000US02,Alaska,73355,2015
0400000US04,Arizona,51492,2015
0400000US05,Arkansas,41995,2015
0400000US06,California,64500,2015
0400000US08,Colorado,63909,2015
0400000US09,Connecticut,71346,2015
0400000US10,Delaware,61255,2015
0400000US11,District of Columbia,75628,2015
0400000US12,Florida,49426,2015
0400000US13,Georgia,51244,2015
0400000US15,Hawaii,73486,2015
0400000US16,Idaho,48275,2015
0400000US17,Illinois,59588,2015
0400000US18,Indiana,50532,2015
0400000US19,Iowa,54736,2015
0400000US20,Kansas,53906,2015
0400000US21,Kentucky,45215,2015
0400000US22,Louisiana,45727,2015
0400000US23,Maine,51494,2015
0400000US24,Maryland,75847,2015
0400000US25,Massachusetts,70628,2015
0400000US26,Michigan,51084,2015
0400000US27,Minnesota,63488,2015
0400000US28,Mississippi,40593,2015
0400000US29,Missouri,50238,2015
0400000US30,Montana,49509,2015
0400000US31,Nebraska,54996,2015
0400000US32,Nevada,52431,2015
0400000US33,New Hampshire,70303,2015
0400000US34,New Jersey,72222,2015
0400000US35,New Mexico,45382,2015
0400000US36,New York,60850,2015
0400000US37,North Carolina,47830,2015
0400000US38,North Dakota,60557,2015
0400000US39,Ohio,51075,2015
0400000US40,Oklahoma,48568,2015
0400000US41,Oregon,54148,2015
