id,Geographic Area,Owner-Occupied Housing Units Median value (dollars),Margin of Error (dollars),Year
0400000US37,North Carolina,165400,1041,2016
0400000US38,North Dakota,184100,3927,2016
0400000US39,Ohio,140100,755,2016
0400000US40,Oklahoma,132200,1454,2016
0400000US41,Oregon,287100,2326,2016
0400000US42,Pennsylvania,174100,736,2016
0400000US44,Rhode Island,247700,3609,2016
0400000US45,South Carolina,153900,1435,2016
0400000US46,South Dakota,160700,2613,2016
0400000US47,Tennessee,157700,1194,2016
0400000US48,Texas,161500,797,2016
0400000US49,Utah,250300,2721,2016
0400000US50,Vermont,223700,4009,2016
0400000US51,Virginia,264000,2048,2016
0400000US53,Washington,306400,2570,2016
0400000US54,West Virginia,117900,2342,2016
0400000US55,Wisconsin,173200,1053,2016
0400000US56,Wyoming,209500,6113,2016
0400000US72,Puerto Rico,111900,1100,2016
0400000US01,Alabama,136200,1645,2016
0400000US02,Alaska,267800,5996,2016
0400000US04,Arizona,205900,1953,2016
0400000US05,Arkansas,123300,1740,2016
0400000US06,California,477500,1663,2016
0400000US08,Colorado,314200,2358,2016
0400000US09,Connecticut,274600,2322,2016
0400000US10,Delaware,243400,3741,2016
0400000US11,District of Columbia,576100,17732,2016
0400000US01,Alabama,141300,1758,2017
0400000US02,Alaska,273100,5087,2017
0400000US04,Arizona,223400,1876,2017
0400000US05,Arkansas,128500,1841,2017
0400000US06,California,509400,2199,2017
0400000US08,Colorado,348900,2122,2017
0400000US09,Connecticut,273100,2088,2017
0400000US10,Delaware,252800,5052,2017
0400000US11,District of Columbia,607200,19159,2017
0400000US12,Florida,214000,1255,2017
0400000US13,Georgia,173700,1013,2017
0400000US15,Hawaii,617400,9241,2017
0400000US16,Idaho,207100,3368,2017
0400000US17,Illinois,195300,1257,2017
0400000US18,Indiana,141100,1049,2017
0400000US19,Iowa,149100,1674,2017
0400000US20,Kansas,150600,1802,2017
0400000US21,Kentucky,141000,1619,2017
0400000US22,Louisiana,162500,1272,2017
0400000US23,Maine,191200,3252,2017
0400000US24,Maryland,312500,2817,2017
0400000US25,Massachusetts,385400,2465,2017
0400000US26,Michigan,155700,757,2017
0400000US27,Minnesota,224000,1281,2017
0400000US28,Mississippi,120200,1849,2017
0400000US29,Missouri,156700,1203,2017
0400000US30,Montana,231300,3808,2017
0400000US31,Nebraska,155800,1954,2017
0400000US32,Nevada,258200,3014,2017
0400000US33,New Hampshire,263600,3064,2017
0400000US34,New Jersey,334900,1880,2017
0400000US35,New Mexico,171300,2181,2017
0400000US36,New York,314500,2313,2017
0400000US37,North Carolina,171200,1016,2017
0400000US38,North Dakota,194700,5102,2017
0400000US39,Ohio,144200,1015,2017
0400000US40,Oklahoma,137400,1523,2017
0400000US41,Oregon,319200,3313,2017
0400000US42,Pennsylvania,181200,1167,2017
0400000US44,Rhode Island,257800,5409,2017
0400000US45,South Carolina,161800,1398,2017
0400000US46,South Dakota,167600,2519,2017
0400000US47,Tennessee,167500,1112,2017
0400000US48,Texas,172200,747,2017
0400000US49,Utah,275100,2649,2017
0400000US50,Vermont,226300,3464,2017
0400000US51,Virginia,273400,2310,2017
0400000US53,Washington,339000,2463,2017
0400000US54,West Virginia,119800,2297,2017
0400000US55,Wisconsin,178900,1377,2017
0400000US56,Wyoming,214300,5510,2017
0400000US72,Puerto Rico,109800,1476,2017
0400000US08,Colorado,373300,2652,2018
0400000US18,Indiana,147300,1112,2018
0400000US21,Kentucky,148100,1710,2018
0400000US22,Louisiana,167300,1737,2018
0400000US17,Illinois,203400,1452,2018
0400000US19,Iowa,152000,1552,2018
0400000US33,New Hampshire,270000,3971,2018
0400000US05,Arkansas,133100,2166,2018
0400000US10,Delaware,255300,5345,2018
0400000US27,Minnesota,235400,1474,2018
0400000US30,Montana,249200,3832,2018
0400000US23,Maine,197500,3603,2018
0400000US37,North Carolina,180600,1360,2018
0400000US13,Georgia,189900,1427,2018
0400000US02,Alaska,276100,4365,2018
0400000US01,Alabama,147900,2304,2018
0400000US50,Vermont,233100,4924,2018
0400000US32,Nevada,292200,3090,2018
0400000US54,West Virginia,121300,2213,2018
0400000US40,Oklahoma,140000,1621,2018
0400000US55,Wisconsin,188500,1266,2018
0400000US72,Puerto Rico,110800,1053,2018
0400000US51,Virginia,281700,1804,2018
0400000US38,North Dakota,198700,4472,2018
0400000US45,South Carolina,170800,1570,2018
0400000US41,Oregon,341800,2876,2018
0400000US56,Wyoming,230500,4260,2018
0400000US06,California,546800,2008,2018
0400000US28,Mississippi,123300,2586,2018
0400000US09,Connecticut,277400,2057,2018
0400000US48,Texas,186000,1168,2018
0400000US24,Maryland,324800,2183,2018
0400000US12,Florida,230600,1248,2018
0400000US25,Massachusetts,400700,2804,2018
0400000US11,District of Columbia,617900,17497,2018
0400000US49,Utah,303300,3085,2018
0400000US36,New York,325500,2465,2018
0400000US34,New Jersey,344000,2091,2018
0400000US39,Ohio,151100,792,2018
0400000US29,Missouri,162600,1170,2018
0400000US42,Pennsylvania,186000,1108,2018
0400000US26,Michigan,162500,780,2018
0400000US31,Nebraska,161800,1688,2018
0400000US16,Idaho,233100,3293,2018
0400000US35,New Mexico,174700,2990,2018
0400000US15,Hawaii,631700,7721,2018
0400000US46,South Dakota,171500,3010,2018
0400000US53,Washington,373100,2028,2018
0400000US44,Rhode Island,273800,4578,2018
0400000US04,Arizona,241100,1921,2018
0400000US47,Tennessee,177500,1856,2018
0400000US20,Kansas,159400,1838,2018
